종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자,"183,500","하락5,500",-2.91%,"8,877,870","1,637,582","10,862,536"
SK하이닉스,"959,000","하락36,000",-3.62%,"1,172,520","1,129,119","6,834,816"
현대차,"495,000","하락6,000",-1.20%,"231,592","114,642","1,013,551"
LG에너지솔루션,"387,000","하락7,000",-1.78%,"62,912","24,548","905,580"
SK스퀘어,"573,000","하락32,000",-5.29%,"153,008","88,950","756,859"
삼성바이오로직스,"1,592,000","상승7,000",+0.44%,"7,055","11,303","736,952"
한화에어로스페이스,"1,406,000","상승6,000",+0.43%,"45,637","64,276","724,981"
두산에너빌리티,"102,200",하락400,-0.39%,"680,870","69,835","654,653"
기아,"156,500","하락1,400",-0.89%,"231,269","36,035","610,996"
KB금융,"152,100","상승2,700",+1.81%,"261,401","39,526","567,106"
HD현대중공업,"523,000",보합0,0.00%,"48,846","25,537","548,947"
삼성물산,"286,000","하락3,000",-1.04%,"79,891","22,984","486,133"
셀트리온,"204,500","상승1,000",+0.49%,"121,029","24,879","472,494"
삼성생명,"225,000","하락2,500",-1.10%,"43,244","9,789","450,000"
신한지주,"93,600","상승1,500",+1.63%,"204,000","19,021","444,276"
한화오션,"128,200","상승3,500",+2.81%,"395,584","50,853","392,822"
미래에셋증권,"68,100",상승800,+1.19%,"1,568,107","106,268","378,170"
현대모비스,"399,000","하락3,000",-0.75%,"46,791","18,622","362,023"
HD현대일렉트릭,"981,000","하락11,000",-1.11%,"24,618","24,372","353,622"
삼성전기,"459,000","상승4,500",+0.99%,"178,530","81,961","342,844"
NAVER,"215,500",보합0,0.00%,"91,241","19,701","338,017"
삼성SDI,"407,500","상승3,500",+0.87%,"144,241","58,790","328,386"
고려아연,"1,566,000","하락27,000",-1.69%,"3,188","5,016","326,871"
하나금융지주,"109,100",상승400,+0.37%,"161,620","17,632","303,653"
한국전력,"46,100",하락350,-0.75%,"437,340","20,149","295,945"
POSCO홀딩스,"348,500","상승6,500",+1.90%,"91,116","31,678","282,051"
한미반도체,"294,500","하락5,500",-1.83%,"132,489","38,944","280,694"
효성중공업,"2,913,000","하락77,000",-2.58%,"13,443","40,119","271,624"
HD한국조선해양,"381,000","하락4,000",-1.04%,"48,178","18,546","269,646"
한화시스템,"134,900","하락1,700",-1.24%,"338,850","45,798","254,852"
LS ELECTRIC,"847,000","상승3,000",+0.36%,"22,082","18,787","254,100"
SK,"348,500","상승2,500",+0.72%,"33,074","11,511","252,672"
우리금융지주,"33,050",상승50,+0.15%,"190,103","6,277","242,612"
삼성중공업,"26,975",상승125,+0.47%,"922,503","25,074","237,380"
LG화학,"320,500","상승2,500",+0.79%,"50,074","16,061","226,248"
카카오,"49,350",상승300,+0.61%,"267,444","13,181","218,505"
HD현대,"271,500","상승6,500",+2.45%,"28,081","7,548","214,466"
삼성화재,"463,000","하락27,000",-5.51%,"28,489","13,322","213,032"
현대로템,"191,000",상승300,+0.16%,"213,119","40,787","208,462"
두산,"1,246,000","하락4,000",-0.32%,"13,412","16,740","201,775"
메리츠금융지주,"115,300","상승3,900",+3.50%,"62,212","7,098","194,858"
SK이노베이션,"111,900","하락2,200",-1.93%,"66,996","7,537","189,170"
HMM,"19,870",하락60,-0.30%,"412,058","8,221","187,421"
기업은행,"23,500",상승100,+0.43%,"143,954","3,377","187,395"
LG전자,"114,200",하락500,-0.44%,"112,465","12,836","186,016"
포스코퓨처엠,"208,500","상승6,000",+2.96%,"109,020","22,602","185,453"
한국항공우주,"188,000","상승3,000",+1.62%,"252,462","47,412","183,253"
KT&G,"156,600",상승700,+0.45%,"37,481","5,894","179,584"
SK텔레콤,"80,700",상승900,+1.13%,"197,262","15,912","173,336"
현대글로비스,"230,000",상승500,+0.22%,"19,785","4,537","172,500"
현대건설,"154,400","하락3,500",-2.22%,"222,976","34,719","171,933"
LIG넥스원,"740,000","상승6,000",+0.82%,"159,310","119,268","162,800"
KT,"60,700",상승600,+1.00%,"58,980","3,567","152,977"
LG,"88,700",하락100,-0.11%,"63,215","5,570","136,795"
삼성에피스홀딩스,"543,000","상승3,000",+0.56%,"13,632","7,481","135,115"
하이브,"310,500","상승6,000",+1.97%,"97,722","29,860","133,726"
포스코인터내셔널,"75,150",하락650,-0.86%,"94,895","7,145","132,206"
S-Oil,"112,300","하락1,000",-0.88%,"61,568","6,927","126,430"
DB손해보험,"181,000","하락13,700",-7.04%,"55,495","10,154","125,585"
에이피알,"328,500",보합0,0.00%,"79,291","26,028","122,984"
삼성에스디에스,"159,400",하락100,-0.06%,"15,784","2,511","123,340"
한국금융지주,"220,500",보합0,0.00%,"40,571","8,853","122,876"
NH투자증권,"34,050",하락250,-0.73%,"154,331","5,245","121,335"
카카오뱅크,"24,600",상승50,+0.20%,"116,592","2,854","117,353"
크래프톤,"245,000","상승4,500",+1.87%,"29,231","7,138","116,145"
키움증권,"431,000","하락1,000",-0.23%,"17,474","7,470","112,972"
현대오토에버,"399,500","하락6,000",-1.48%,"17,740","7,080","109,559"
대한항공,"25,150",하락250,-0.98%,"277,946","6,978","92,607"
삼양식품,"1,217,000","상승1,000",+0.08%,"7,025","8,601","91,677"
한화,"120,300","상승3,600",+3.08%,"56,158","6,677","90,175"
LS,"285,500","상승2,000",+0.71%,"36,309","10,402","89,076"
삼성증권,"97,700",하락100,-0.10%,"45,536","4,426","87,246"
이수페타시스,"118,700","하락1,600",-1.33%,"261,411","30,958","87,137"
한진칼,"123,300","하락3,400",-2.68%,"23,511","2,900","82,318"
아모레퍼시픽,"137,900","상승1,100",+0.80%,"22,809","3,129","80,662"
HD현대마린솔루션,"179,800","하락1,600",-0.88%,"11,906","2,154","80,607"
유한양행,"100,100","상승1,200",+1.21%,"69,486","6,980","79,727"
한화솔루션,"44,700",하락300,-0.67%,"817,077","37,101","76,836"
SK바이오팜,"96,700",하락500,-0.51%,"50,281","4,911","75,729"
LG이노텍,"310,500","하락2,500",-0.80%,"69,286","21,859","73,486"
카카오페이,"53,600",하락400,-0.74%,"107,532","5,764","72,480"
한국타이어앤테크놀로지,"57,800",하락300,-0.52%,"54,752","3,173","71,600"
한미약품,"555,000","상승14,000",+2.59%,"22,756","12,489","71,101"
LG유플러스,"15,940",상승340,+2.18%,"140,418","2,212","68,515"
대우건설,"16,260",하락150,-0.91%,"6,771,904","108,484","67,580"
GS,"69,100","하락1,100",-1.57%,"35,205","2,439","64,205"
삼성E&A,"32,750",하락950,-2.82%,"660,363","21,766","64,190"
삼성카드,"55,100","하락1,300",-2.30%,"30,041","1,664","63,838"
한전기술,"165,700","하락3,100",-1.84%,"37,183","6,199","63,331"
CJ,"210,500",상승500,+0.24%,"13,389","2,812","61,418"
LG씨엔에스,"62,000",하락500,-0.80%,"102,825","6,400","60,069"
엘앤에프,"147,000","상승1,700",+1.17%,"364,832","52,700","59,273"
두산밥캣,"61,700",보합0,0.00%,"48,092","2,961","59,143"
LG디스플레이,"11,660",하락90,-0.77%,"665,178","7,771","58,300"
BNK금융지주,"18,660",상승210,+1.14%,"94,207","1,747","57,907"
JB금융지주,"30,350",상승700,+2.36%,"51,606","1,540","57,135"
두산로보틱스,"87,200","하락1,600",-1.80%,"29,609","2,588","56,523"
대한전선,"29,900",하락400,-1.32%,"613,983","18,584","55,748"
산일전기,"174,000","상승8,200",+4.95%,"323,889","56,724","53,149"
오리온,"133,500",하락600,-0.45%,"18,826","2,501","52,781"
코웨이,"73,500",하락600,-0.81%,"35,586","2,620","52,014"
에코프로머티,"71,300",상승900,+1.28%,"629,898","44,817","50,308"
엔씨소프트,"225,000","하락2,500",-1.10%,"22,729","5,182","48,474"
포스코DX,"31,350",하락150,-0.48%,"50,026","1,575","47,663"
현대제철,"35,550",하락150,-0.42%,"109,386","3,883","47,440"
KCC,"525,000","하락8,000",-1.50%,"2,702","1,420","46,654"
한화엔진,"51,500","상승2,750",+5.64%,"549,601","28,570","42,975"
넷마블,"52,100",상승700,+1.36%,"53,223","2,792","42,701"
한화생명,"4,880",하락90,-1.81%,"1,764,839","8,626","42,384"
한온시스템,"3,950",하락105,-2.59%,"2,057,752","8,167","40,537"
강원랜드,"18,140",보합0,0.00%,"96,162","1,744","38,809"
SKC,"101,000","하락1,100",-1.08%,"24,942","2,519","38,247"
LG생활건강,"244,000","하락2,500",-1.01%,"6,919","1,686","37,338"
영원무역,"83,000","상승1,200",+1.47%,"9,156",750,"36,779"
OCI홀딩스,"189,400","상승6,600",+3.61%,"104,146","20,089","35,361"
현대엘리베이터,"87,500",하락500,-0.57%,"18,574","1,627","34,206"
롯데케미칼,"79,700",하락100,-0.13%,"35,146","2,805","34,092"
SK바이오사이언스,"43,400",상승600,+1.40%,"17,444",757,"34,041"
한올바이오파마,"64,100","상승6,200",+10.71%,"449,204","27,647","33,486"
