종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자,"183,800","하락5,200",-2.75%,"7,795,092","1,438,565","10,880,294"
SK하이닉스,"957,000","하락38,000",-3.82%,"995,500","959,295","6,820,562"
현대차,"494,500","하락6,500",-1.30%,"205,509","101,725","1,012,527"
LG에너지솔루션,"389,500","하락4,500",-1.14%,"55,714","21,754","911,430"
SK스퀘어,"575,000","하락30,000",-4.96%,"119,219","69,543","759,501"
삼성바이오로직스,"1,597,000","상승12,000",+0.76%,"5,875","9,423","739,266"
한화에어로스페이스,"1,409,000","상승9,000",+0.64%,"37,974","53,467","726,528"
두산에너빌리티,"102,300",하락300,-0.29%,"555,798","57,036","655,294"
기아,"155,800","하락2,100",-1.33%,"201,499","31,386","608,263"
KB금융,"151,900","상승2,500",+1.67%,"209,195","31,586","566,360"
